# ./Data/BW2025-02-07_14:52:09_LCal2_BNC.txt
# Duration (in s): 30
# Pointing Position of the Horn: Sky
# Angle pointing (from horizontal perpendicular to supporting axis): 48.70
# Angle pointing (from horizontal parallel to supporting axis): 0
# Calibrator used: NO
# Temperature Outside (in celcius): 25.4
# Temperature of the calibrator (in celcius): Low
# Weather: very clear
# Units: Volts
2.694129943847656250e-05 -8.403000000000000469e-01
5.747890472412109375e-02 -8.404000000000000359e-01
9.953904151916503906e-02 -8.399999999999999689e-01
1.565489768981933594e-01 -8.404000000000000359e-01
1.995279788970947266e-01 -8.404000000000000359e-01
2.565829753875732422e-01 -8.406000000000000139e-01
2.995312213897705078e-01 -8.399999999999999689e-01
3.567121028900146484e-01 -8.400999999999999579e-01
3.988680839538574219e-01 -8.401999999999999469e-01
4.557940959930419922e-01 -8.404000000000000359e-01
4.986100196838378906e-01 -8.404000000000000359e-01
5.556130409240722656e-01 -8.406000000000000139e-01
5.976519584655761719e-01 -8.401999999999999469e-01
6.547379493713378906e-01 -8.405000000000000249e-01
6.975409984588623047e-01 -8.399999999999999689e-01
7.545330524444580078e-01 -8.405000000000000249e-01
7.974889278411865234e-01 -8.397999999999999909e-01
8.545742034912109375e-01 -8.405000000000000249e-01
8.966600894927978516e-01 -8.399999999999999689e-01
9.535200595855712891e-01 -8.404000000000000359e-01
9.963741302490234375e-01 -8.403000000000000469e-01
1.053522109985351562e+00 -8.401999999999999469e-01
1.110390186309814453e+00 -8.403000000000000469e-01
1.152473926544189453e+00 -8.405000000000000249e-01
1.209434986114501953e+00 -8.401999999999999469e-01
1.252429246902465820e+00 -8.407000000000000028e-01
1.309461116790771484e+00 -8.403000000000000469e-01
1.352484226226806641e+00 -8.403000000000000469e-01
1.409379243850708008e+00 -8.401999999999999469e-01
1.451334953308105469e+00 -8.401999999999999469e-01
1.508361101150512695e+00 -8.399999999999999689e-01
1.551362037658691406e+00 -8.403000000000000469e-01
1.608492136001586914e+00 -8.406000000000000139e-01
1.650373935699462891e+00 -8.399999999999999689e-01
1.707439899444580078e+00 -8.404000000000000359e-01
1.750428915023803711e+00 -8.399999999999999689e-01
1.807360172271728516e+00 -8.403000000000000469e-01
1.849312067031860352e+00 -8.401999999999999469e-01
1.907314062118530273e+00 -8.405000000000000249e-01
1.949335098266601562e+00 -8.401999999999999469e-01
2.006539106369018555e+00 -8.407000000000000028e-01
2.049484252929687500e+00 -8.400999999999999579e-01
2.106333971023559570e+00 -8.401999999999999469e-01
2.148468017578125000e+00 -8.403000000000000469e-01
2.205456972122192383e+00 -8.400999999999999579e-01
2.262444019317626953e+00 -8.399999999999999689e-01
2.305402994155883789e+00 -8.404000000000000359e-01
2.362450122833251953e+00 -8.401999999999999469e-01
2.404453992843627930e+00 -8.400999999999999579e-01
2.461426973342895508e+00 -8.401999999999999469e-01
