# ./Data/BW2025-02-07_15:55:39_LCal2_BNC.txt
# Duration (in s): 30
# Pointing Position of the Horn: Sky
# Angle pointing (from horizontal perpendicular to supporting axis): 48.70
# Angle pointing (from horizontal parallel to supporting axis):  NA
# Calibrator used: YES
# Temperature Outside (in celcius): 25.4
# Temperature of the calibrator (in celcius): Low
# Weather: very clear
# Units: Volts
5.602836608886718750e-05 -9.010000000000000231e-01
6.270718574523925781e-02 -9.036999999999999478e-01
1.045711040496826172e-01 -9.062999999999999945e-01
1.616733074188232422e-01 -9.053999999999999826e-01
2.046172618865966797e-01 -9.044999999999999707e-01
2.616600990295410156e-01 -9.046999999999999487e-01
3.037881851196289062e-01 -9.044999999999999707e-01
3.609173297882080078e-01 -9.050000000000000266e-01
4.038283824920654297e-01 -9.053999999999999826e-01
4.607572555541992188e-01 -9.052000000000000046e-01
5.026302337646484375e-01 -9.048000000000000487e-01
5.597202777862548828e-01 -9.052000000000000046e-01
6.168403625488281250e-01 -9.046999999999999487e-01
6.597743034362792969e-01 -9.052000000000000046e-01
7.167201042175292969e-01 -9.053999999999999826e-01
7.587850093841552734e-01 -9.048000000000000487e-01
8.158702850341796875e-01 -9.046999999999999487e-01
8.587520122528076172e-01 -9.052999999999999936e-01
9.157812595367431641e-01 -9.046999999999999487e-01
9.584963321685791016e-01 -9.052000000000000046e-01
1.015498399734497070e+00 -9.048000000000000487e-01
1.057439327239990234e+00 -9.054999999999999716e-01
1.114462375640869141e+00 -9.054999999999999716e-01
1.157481193542480469e+00 -9.054999999999999716e-01
1.213529109954833984e+00 -9.049000000000000377e-01
1.256445169448852539e+00 -9.032000000000000028e-01
1.313427209854125977e+00 -9.016999999999999460e-01
1.356433153152465820e+00 -8.990000000000000213e-01
1.413408994674682617e+00 -8.971000000000000085e-01
1.469441175460815430e+00 -8.958000000000000407e-01
1.512397050857543945e+00 -8.960000000000000187e-01
1.569398164749145508e+00 -8.955999999999999517e-01
1.612470149993896484e+00 -8.955999999999999517e-01
1.669424295425415039e+00 -8.954999999999999627e-01
1.711465358734130859e+00 -8.954999999999999627e-01
1.768402338027954102e+00 -8.954999999999999627e-01
1.811395168304443359e+00 -8.958000000000000407e-01
1.868599176406860352e+00 -8.955999999999999517e-01
1.910674333572387695e+00 -8.964999999999999636e-01
1.967621088027954102e+00 -8.959000000000000297e-01
2.010559320449829102e+00 -8.972999999999999865e-01
2.067562341690063477e+00 -8.971999999999999975e-01
2.109541177749633789e+00 -8.984999999999999654e-01
2.166559219360351562e+00 -8.977000000000000535e-01
2.209594249725341797e+00 -8.973999999999999755e-01
2.266497135162353516e+00 -9.044999999999999707e-01
2.323526144027709961e+00 -9.106999999999999540e-01
2.365475177764892578e+00 -9.042999999999999927e-01
2.422472238540649414e+00 -8.904999999999999583e-01
2.465531110763549805e+00 -8.831999999999999851e-01
2.522466182708740234e+00 -8.937000000000000499e-01
2.564463138580322266e+00 -9.095999999999999641e-01
2.621544361114501953e+00 -9.162000000000000144e-01
2.664295196533203125e+00 -9.257999999999999563e-01
2.721462011337280273e+00 -9.283000000000000140e-01
2.763322114944458008e+00 -9.292000000000000259e-01
2.820371150970458984e+00 -9.290000000000000480e-01
2.863313198089599609e+00 -9.287999999999999590e-01
2.920289039611816406e+00 -9.292000000000000259e-01
2.962307214736938477e+00 -9.298999999999999488e-01
3.020272254943847656e+00 -9.301000000000000378e-01
3.062241077423095703e+00 -9.304000000000000048e-01
3.119220256805419922e+00 -9.306999999999999718e-01
3.176247119903564453e+00 -9.311000000000000387e-01
3.218271255493164062e+00 -9.315999999999999837e-01
3.275235176086425781e+00 -9.317999999999999616e-01
3.318216323852539062e+00 -9.314000000000000057e-01
3.375242948532104492e+00 -9.317999999999999616e-01
3.417210102081298828e+00 -9.320000000000000506e-01
3.474201202392578125e+00 -9.326999999999999735e-01
3.517200231552124023e+00 -9.325999999999999845e-01
3.574179172515869141e+00 -9.324999999999999956e-01
3.617248296737670898e+00 -9.324000000000000066e-01
3.674179077148437500e+00 -9.331000000000000405e-01
3.716282129287719727e+00 -9.325999999999999845e-01
3.773203372955322266e+00 -9.330000000000000515e-01
3.816171169281005859e+00 -9.331000000000000405e-01
3.873218059539794922e+00 -9.332000000000000295e-01
3.915137052536010742e+00 -9.331000000000000405e-01
3.972133159637451172e+00 -9.335999999999999854e-01
4.015164136886596680e+00 -9.332000000000000295e-01
4.072151184082031250e+00 -9.335999999999999854e-01
4.114144325256347656e+00 -9.334999999999999964e-01
4.171472072601318359e+00 -9.334000000000000075e-01
4.214233160018920898e+00 -9.335999999999999854e-01
4.271156311035156250e+00 -9.334999999999999964e-01
4.328119039535522461e+00 -9.338999999999999524e-01
4.370141267776489258e+00 -9.334999999999999964e-01
4.427117109298706055e+00 -9.336999999999999744e-01
4.470100164413452148e+00 -9.332000000000000295e-01
4.527079105377197266e+00 -9.342000000000000304e-01
4.569080114364624023e+00 -9.333000000000000185e-01
4.626122951507568359e+00 -9.334999999999999964e-01
4.669085264205932617e+00 -9.335999999999999854e-01
4.726089239120483398e+00 -9.338999999999999524e-01
4.768101215362548828e+00 -9.340000000000000524e-01
4.825069189071655273e+00 -9.344999999999999973e-01
4.868058204650878906e+00 -9.344000000000000083e-01
4.925043344497680664e+00 -9.353000000000000203e-01
4.968033075332641602e+00 -9.353000000000000203e-01
5.024042367935180664e+00 -9.358999999999999542e-01
5.067052125930786133e+00 -9.355999999999999872e-01
5.124039173126220703e+00 -9.361000000000000432e-01
5.167018175125122070e+00 -9.354999999999999982e-01
5.224091291427612305e+00 -9.358999999999999542e-01
5.266030073165893555e+00 -9.358999999999999542e-01
