./Data/BW2025-02-07_16:23:39calibration2.txt
Duration (in s): 30
Calibrating: True
Temperature of the calibrator (in Celsius): -196
Azimuth angle from North: nan
Altitude angle from the horizon: 0.0
Temperature Outside (in Celsius): 2
Weather: nan
Units: Volts

Time (s), Voltage (V)
3.695487976074219e-05,-0.5277
0.0399019718170166,-0.5277
0.09693026542663574,-0.5279
0.13904118537902832,-0.5276
0.19603896141052246,-0.5278
0.23892998695373535,-0.5276
0.2958202362060547,-0.5276
0.33786702156066895,-0.5279
0.39481091499328613,-0.5277
0.43782615661621094,-0.5276
0.49477410316467285,-0.5275
0.5368630886077881,-0.5275
0.59377121925354,-0.5275
0.6508440971374512,-0.5278
0.6937770843505859,-0.5273
0.7507772445678711,-0.5276
0.7927780151367188,-0.5273
0.8498461246490479,-0.5277
0.8927791118621826,-0.5274
0.949761152267456,-0.5275
0.9927880764007568,-0.5272
1.0487771034240723,-0.5275
1.091728925704956,-0.5272
1.1488120555877686,-0.5275
1.1919209957122803,-0.5272
1.247854232788086,-0.5275
1.2907872200012207,-0.5272
1.3478171825408936,-0.5274
1.390779972076416,-0.5273
1.4467871189117432,-0.5276
1.4898099899291992,-0.5275
1.546766996383667,-0.5275
1.6037509441375732,-0.5274
1.6467468738555908,-0.5275
1.7027390003204346,-0.5278
1.7457520961761475,-0.5275
1.8027570247650146,-0.5274
1.845724105834961,-0.5275
1.9026801586151123,-0.5277
1.9447181224822998,-0.5276
2.0016772747039795,-0.5278
2.0447051525115967,-0.5275
2.101659059524536,-0.5278
2.1436660289764404,-0.5275
2.2006471157073975,-0.5278
2.243685007095337,-0.5274
2.300616979598999,-0.5277
2.3577160835266113,-0.5271
2.399670124053955,-0.5276
2.4566900730133057,-0.5272
2.4996209144592285,-0.5275
2.5566961765289307,-0.5273
2.5986649990081787,-0.5275
2.655614137649536,-0.5274
2.698594093322754,-0.5273
2.7556049823760986,-0.5271
2.7976560592651367,-0.5273
2.854651927947998,-0.5272
2.897665023803711,-0.5272
2.9546329975128174,-0.5273
2.9976460933685303,-0.5273
3.0536179542541504,-0.5273
3.0966129302978516,-0.5272
3.1536002159118652,-0.5269
3.196614980697632,-0.5272
3.2526259422302246,-0.527
3.295599937438965,-0.5269
3.3526129722595215,-0.5271
3.3956120014190674,-0.527
3.4526031017303467,-0.5272
3.508618116378784,-0.527
3.5515851974487305,-0.5272
3.6086161136627197,-0.5269
3.65159010887146,-0.5273
3.708601951599121,-0.527
3.7505810260772705,-0.5273
3.807605028152466,-0.5269
3.8506271839141846,-0.527
3.9075982570648193,-0.5267
3.9495859146118164,-0.5272
4.006555080413818,-0.5268
4.04951810836792,-0.5272
4.106544017791748,-0.5268
4.148515224456787,-0.527
4.205496072769165,-0.5267
4.2485949993133545,-0.5269
4.3054420948028564,-0.5268
4.362506151199341,-0.5271
4.404496908187866,-0.5269
4.46148419380188,-0.5266
4.504484176635742,-0.5269
4.561477899551392,-0.5266
4.6034791469573975,-0.5266
4.660474061965942,-0.527
4.703452110290527,-0.527
4.760446071624756,-0.5271
4.802476167678833,-0.5271
4.859441041946411,-0.527
4.902435064315796,-0.527
4.9594340324401855,-0.5268
5.002456188201904,-0.5271
5.058435916900635,-0.5269
5.101431131362915,-0.5273
5.158414840698242,-0.527
5.2154152393341064,-0.527
5.257395029067993,-0.527
5.314388036727905,-0.5272
5.357399225234985,-0.527
5.414409160614014,-0.5272
5.456385135650635,-0.5272
5.513392925262451,-0.5274
5.556365251541138,-0.5272
5.613384962081909,-0.5273
5.656353235244751,-0.527
5.71236515045166,-0.5271
5.755345106124878,-0.5271
5.812374114990234,-0.5272
5.855359077453613,-0.5271
5.912363052368164,-0.5271
5.954323053359985,-0.5273
6.01136326789856,-0.5272
6.054264068603516,-0.5273
6.1113080978393555,-0.527
6.167248010635376,-0.5272
6.210267066955566,-0.5272
6.267218112945557,-0.5271
6.310305118560791,-0.5269
6.367248058319092,-0.5273
6.409208059310913,-0.527
6.466254234313965,-0.5273
6.5092151165008545,-0.5269
6.566226959228516,-0.527
6.608176946640015,-0.527
6.6651952266693115,-0.5273
6.708182096481323,-0.5268
6.765171051025391,-0.527
6.822223901748657,-0.527
6.864208936691284,-0.5269
6.921221971511841,-0.5269
6.964160203933716,-0.5268
7.021209955215454,-0.527
7.0631561279296875,-0.5268
7.120238304138184,-0.5268
7.163160085678101,-0.5268
7.220209121704102,-0.5267
7.26317024230957,-0.5268
7.319171905517578,-0.5268
7.362158298492432,-0.5267
7.419167995452881,-0.5268
7.462156057357788,-0.5266
7.518156051635742,-0.5266
7.575164079666138,-0.5264
7.618146181106567,-0.5266
7.675153017044067,-0.5264
7.7181360721588135,-0.5269
7.774085998535156,-0.5264
7.817150115966797,-0.5266
7.87411904335022,-0.5264
7.917076110839844,-0.5265
7.974093198776245,-0.5262
8.016068935394287,-0.5264
8.07312798500061,-0.5265
8.116050004959106,-0.5265
8.173094987869263,-0.5266
8.22904920578003,-0.5268
8.272079944610596,-0.5266
8.329089164733887,-0.5266
8.37206506729126,-0.5268
8.429036140441895,-0.5269
8.471060037612915,-0.5268
8.528046131134033,-0.5266
8.571054220199585,-0.5268
8.628079891204834,-0.527
8.670024156570435,-0.5267
8.727030038833618,-0.5267
8.770079135894775,-0.5268
8.827071189880371,-0.5268
8.869049310684204,-0.5269
8.925984144210815,-0.5264
8.968998908996582,-0.527
9.025994062423706,-0.5265
9.068968057632446,-0.5272
9.125010013580322,-0.5266
9.181966304779053,-0.5269
9.225080251693726,-0.5264
9.282316207885742,-0.5269
9.325177907943726,-0.5266
9.381261110305786,-0.5269
9.424292087554932,-0.5267
9.481321096420288,-0.5268
9.523215055465698,-0.5263
9.580291271209717,-0.5266
9.623174905776978,-0.5264
9.680246114730835,-0.5264
9.722154140472412,-0.5265
9.779261112213135,-0.5265
9.822189092636108,-0.5265
9.879251956939697,-0.5265
9.922125101089478,-0.5266
9.978228092193604,-0.5263
10.035243034362793,-0.5265
10.078226089477539,-0.5263
10.135208129882812,-0.5262
10.178246974945068,-0.5263
10.233967065811157,-0.5264
10.27691102027893,-0.5261
10.333822011947632,-0.5265
10.37680697441101,-0.5262
10.432942152023315,-0.5266
10.475816011428833,-0.5263
10.532846212387085,-0.5266
10.575804948806763,-0.5264
10.632789134979248,-0.5265
10.674773216247559,-0.5264
10.73177719116211,-0.5268
10.774785041809082,-0.5264
10.831793069839478,-0.5265
10.8887619972229,-0.5263
10.930772066116333,-0.5265
10.987809181213379,-0.5265
11.030777215957642,-0.5265
11.08777928352356,-0.5265
11.130765199661255,-0.5266
11.186743259429932,-0.5265
11.229761123657227,-0.5266
11.286739110946655,-0.5265
11.328748226165771,-0.5267
11.385780096054077,-0.5266
11.428715229034424,-0.5265
11.485705137252808,-0.5268
11.528700113296509,-0.5267
11.584739208221436,-0.5268
11.627707958221436,-0.5267
11.684726238250732,-0.5268
11.72768497467041,-0.5267
11.783708095550537,-0.5269
11.826684951782227,-0.5266
11.88369607925415,-0.5269
11.926669120788574,-0.5266
11.983644008636475,-0.5266
12.03966498374939,-0.5267
12.082671880722046,-0.5267
12.139670133590698,-0.5266
12.182621955871582,-0.5268
12.239650249481201,-0.5264
12.281612157821655,-0.5266
12.338690042495728,-0.5265
12.381635904312134,-0.5268
12.43863296508789,-0.5263
12.480623006820679,-0.5265
12.537610054016113,-0.5263
12.58062219619751,-0.5264
12.637619018554688,-0.5266
12.679594039916992,-0.5264
12.736581087112427,-0.5264
12.779603958129883,-0.5265
12.836681127548218,-0.5267
12.893640041351318,-0.5264
12.93559193611145,-0.5266
12.992563009262085,-0.5264
13.035561084747314,-0.5268
13.092565059661865,-0.5264
13.134574890136719,-0.5267
13.191581964492798,-0.5266
13.234551191329956,-0.5269
13.291536092758179,-0.5265
13.333678960800171,-0.5268
13.390574932098389,-0.5265
13.4335298538208,-0.5268
13.490539073944092,-0.5264
13.532522201538086,-0.5268
13.589509963989258,-0.5266
13.632565021514893,-0.5268
13.689533948898315,-0.5267
13.746584177017212,-0.5268
13.78848123550415,-0.5265
13.84555196762085,-0.5266
13.888492107391357,-0.5269
13.94547700881958,-0.5268
13.98848009109497,-0.5267
14.044507026672363,-0.5267
14.087493896484375,-0.5266
14.144447088241577,-0.5265
14.18743896484375,-0.5268
14.24344515800476,-0.5269
14.286424160003662,-0.5269
14.343464136123657,-0.5267
14.386468887329102,-0.5269
14.443449974060059,-0.5267
14.499485969543457,-0.5269
14.542479991912842,-0.527
14.599478006362915,-0.527
14.642445087432861,-0.5269
14.699429988861084,-0.5271
14.741451025009155,-0.5269
14.798456192016602,-0.5272
14.84145998954773,-0.5269
14.898455142974854,-0.5271
14.940430164337158,-0.5267
14.99743103981018,-0.5272
15.040435075759888,-0.5273
15.097352981567383,-0.5273
15.13935399055481,-0.5273
15.19644021987915,-0.5274
15.2393639087677,-0.5275
15.296442031860352,-0.5275
15.33834195137024,-0.5276
15.395417213439941,-0.5277
15.438464164733887,-0.5278
15.495382070541382,-0.528
15.538320064544678,-0.5281
15.594396114349365,-0.5277
15.63735318183899,-0.5277
15.69435715675354,-0.5279
15.751318216323853,-0.528
15.79428505897522,-0.5276
15.850379228591919,-0.5281
15.893290042877197,-0.5277
15.950338125228882,-0.5281
15.993273258209229,-0.5277
16.049309015274048,-0.5282
16.09232211112976,-0.528
16.14925503730774,-0.5282
16.192275047302246,-0.5281
16.24929428100586,-0.5284
16.291270971298218,-0.528
16.348268032073975,-0.5282
16.391242027282715,-0.528
16.448225021362305,-0.5283
16.490251064300537,-0.528
16.54721689224243,-0.5283
16.590224027633667,-0.528
16.647238969802856,-0.5279
16.704215049743652,-0.528
16.746227979660034,-0.5279
16.803232192993164,-0.5279
16.846229076385498,-0.5279
16.903202056884766,-0.5277
16.94521403312683,-0.5277
17.002279043197632,-0.5279
17.045191049575806,-0.5276
17.102195978164673,-0.528
17.145182132720947,-0.5274
17.201162099838257,-0.5278
17.24417805671692,-0.5277
17.30130910873413,-0.5279
17.34317398071289,-0.5278
17.400182008743286,-0.5279
17.443133115768433,-0.5277
17.50017809867859,-0.5278
17.557132244110107,-0.5276
17.599173069000244,-0.5277
17.656156063079834,-0.5276
17.69912314414978,-0.5278
17.756107091903687,-0.5275
17.799137115478516,-0.5277
17.855175018310547,-0.5276
17.898101091384888,-0.5279
17.95507311820984,-0.5276
17.998098134994507,-0.5278
18.055078983306885,-0.5276
18.09704303741455,-0.5277
18.15420126914978,-0.5277
18.197113275527954,-0.5278
18.25407314300537,-0.5278
18.296106100082397,-0.528
18.353077173233032,-0.5282
18.396070957183838,-0.5283
18.453066110610962,-0.5283
18.495065212249756,-0.5282
18.552026987075806,-0.5284
18.595033884048462,-0.5284
18.652025938034058,-0.5287
18.69505500793457,-0.5283
18.751139163970947,-0.5287
18.808264017105103,-0.5285
18.851062059402466,-0.5287
18.90808606147766,-0.5285
18.950014114379883,-0.5288
19.007004976272583,-0.5285
19.05001401901245,-0.5287
19.107031106948853,-0.5284
19.148964881896973,-0.5287
19.206257104873657,-0.5283
19.24907088279724,-0.5286
19.306298971176147,-0.5281
19.349204063415527,-0.5285
19.40537929534912,-0.5283
19.448347091674805,-0.5284
19.5052490234375,-0.5282
19.56230401992798,-0.5283
19.60505723953247,-0.5285
19.661225080490112,-0.5282
19.704199075698853,-0.5284
19.76127600669861,-0.5283
19.80407404899597,-0.5285
19.860188007354736,-0.5282
19.903176069259644,-0.5286
19.960215091705322,-0.5284
20.003139972686768,-0.5287
20.060261964797974,-0.5284
20.102164030075073,-0.529
20.15915822982788,-0.5285
20.202064037322998,-0.5291
20.2589590549469,-0.5287
20.300925970077515,-0.5291
20.357861042022705,-0.529
20.414934158325195,-0.5293
20.457905054092407,-0.529
20.51487708091736,-0.5293
20.556859970092773,-0.5293
20.613866090774536,-0.5295
20.656858921051025,-0.5294
20.713832139968872,-0.5294
20.75604796409607,-0.5293
20.812971115112305,-0.5294
20.855854988098145,-0.5293
20.91282892227173,-0.5293
20.954822063446045,-0.5292
21.011854887008667,-0.5293
21.054808139801025,-0.5293
21.111796140670776,-0.5291
21.15379524230957,-0.5293
21.21078896522522,-0.5289
21.267874240875244,-0.5293
